,precision,recall,f1-score,support
0,0.9092,0.8871975019516003,0.8980640063216121,2562.0
1,0.9361325966850829,0.9491373515572484,0.9425901201602135,4463.0
accuracy,0.9265480427046263,0.9265480427046263,0.9265480427046263,0.9265480427046263
macro avg,0.9226662983425414,0.9181674267544244,0.9203270632409128,7025.0
weighted avg,0.926310345765911,0.9265480427046263,0.9263515573624204,7025.0
