FPR,TPR,Thresholds
0.0,0.0,1.9998405
0.0,0.00022406453058480843,0.9998405
0.0,0.003585032489356935,0.99980015
0.0,0.004481290611696168,0.99979836
0.0,0.013667936365673313,0.9997701
0.0,0.014116065426842931,0.99976987
0.0,0.01568451714093659,0.99976736
0.0,0.016132646202106207,0.9997664
0.0,0.017701097916199865,0.99976367
0.0,0.01814922697736948,0.9997634
0.0,0.019269549630293526,0.99976176
0.0,0.02016580775263276,0.99976164
0.0,0.020613936813802376,0.9997615
0.0,0.022854582119650458,0.99975663
0.0,0.023302711180820074,0.9997565
0.0,0.025319291956083352,0.999754
0.0,0.0266636791395922,0.9997532
0.0,0.027335872731346626,0.99975175
0.0,0.027784001792516246,0.99975127
0.0,0.028904324445440287,0.9997496
0.0,0.029352453506609904,0.9997495
0.0,0.03293748599596684,0.99974424
0.0,0.033385615057136456,0.9997439
0.0,0.03383374411830607,0.9997428
0.0,0.03428187317947569,0.9997423
0.0,0.034730002240645305,0.99974185
0.0,0.03652251848532377,0.9997398
0.0,0.037418776607663004,0.9997389
0.0,0.03809097019941743,0.99973875
0.0,0.03876316379117186,0.99973816
0.0,0.04010755097468071,0.9997372
0.0,0.040779744566435135,0.99973565
0.0,0.04122787362760475,0.99973553
0.0,0.0425722608111136,0.9997353
0.0,0.04279632534169841,0.99973494
0.0,0.043244454402868025,0.9997346
0.0,0.04369258346403764,0.99973434
0.0,0.04414071252520726,0.9997342
0.0,0.044588841586376875,0.9997336
0.0,0.04503697064754649,0.9997335
0.0,0.0452610351781313,0.99973327
0.0,0.045709164239300916,0.99973315
0.0,0.045933228769885724,0.9997328
0.0,0.04638135783105534,0.99973243
0.0,0.04727761595339458,0.99973136
0.0,0.0477257450145642,0.99973124
0.0,0.047949809545149005,0.9997311
0.0,0.04884606766748824,0.9997303
0.0,0.04996639032041228,0.99972886
0.0,0.050414519381581896,0.99972814
0.0,0.051982971095675554,0.9997265
0.0,0.05243110015684517,0.9997255
0.0,0.05265516468742998,0.99972504
0.0,0.053103293748599595,0.9997249
0.0,0.054223616401523636,0.99972326
0.0,0.05467174546269325,0.9997229
0.0,0.055119874523862876,0.99972254
0.0,0.05556800358503249,0.9997224
0.0,0.05601613264620211,0.9997218
0.0,0.056464261707371725,0.9997217
0.0,0.056688326237956534,0.9997212
0.0,0.05803271342146538,0.99972075
0.0,0.05825677795205019,0.9997205
0.0,0.059153036074389424,0.9997199
0.0,0.05937710060497423,0.99971956
0.0,0.06004929419672866,0.99971944
0.0,0.060273358727313465,0.99971896
0.0,0.06072148778848308,0.99971884
0.0,0.06206587497199193,0.999718
0.0,0.06251400403316155,0.9997179
0.0,0.0636343266860856,0.9997168
0.0,0.06408245574725521,0.99971646
0.0,0.06430652027784002,0.9997162
0.0,0.06475464933900964,0.9997161
0.0,0.06542684293076406,0.9997156
0.0,0.06565090746134887,0.99971527
0.0,0.06609903652251849,0.99971503
0.0,0.06677123011427291,0.99971455
0.0,0.06721935917544253,0.9997142
0.0,0.06811561729778176,0.9997131
0.0,0.06856374635895138,0.9997124
0.0,0.06878781088953619,0.99971205
0.0,0.0692359399507058,0.99971193
0.0,0.06946000448129061,0.9997118
0.0,0.06990813354246023,0.9997117
0.0,0.07058032713421465,0.99971086
0.0,0.07102845619538427,0.99971074
0.0,0.07125252072596908,0.9997104
0.0,0.07170064978713869,0.9997099
0.0,0.07214877884830831,0.99970883
0.0,0.07259690790947793,0.9997085
0.0,0.07282097244006273,0.99970835
0.0,0.07326910150123235,0.99970824
0.0,0.07371723056240197,0.9997074
0.0,0.07416535962357158,0.99970716
0.0,0.07573381133766524,0.99970585
0.0,0.07663006946000449,0.9997056
0.0,0.0768541339905893,0.9997055
0.0,0.07730226305175891,0.99970514
0.0,0.07775039211292853,0.9997043
0.0,0.07819852117409815,0.99970335
0.0,0.07842258570468295,0.9997031
0.0,0.07931884382702219,0.9997024
0.0,0.08178355366345508,0.9996996
0.0,0.0822316827246247,0.9996995
0.0,0.08357606990813354,0.99969745
0.0,0.08447232803047278,0.9996973
0.0,0.08469639256105758,0.9996971
0.0,0.0851445216222272,0.99969697
0.0,0.08626484427515124,0.9996959
0.0,0.08716110239749048,0.99969554
0.0,0.0878332959892449,0.99969363
0.0,0.08828142505041452,0.9996933
0.0,0.08872955411158413,0.99969304
0.0,0.08917768317275375,0.9996927
0.0,0.09007394129509298,0.9996915
0.0,0.09097019941743222,0.9996909
0.0,0.09141832847860183,0.99969006
0.0,0.09186645753977145,0.99968994
0.0,0.09253865113152587,0.9996896
0.0,0.09298678019269549,0.99968886
0.0,0.09343490925386512,0.9996886
0.0,0.09388303831503474,0.999688
0.0,0.09433116737620435,0.9996872
0.0,0.09500336096795878,0.99968696
0.0,0.0956755545597132,0.99968624
0.0,0.09612368362088282,0.99968517
0.0,0.09657181268205244,0.9996848
0.0,0.09724400627380686,0.9996841
0.0,0.09881245798790052,0.9996816
0.0,0.09926058704907013,0.9996815
0.0,0.09970871611023975,0.99968123
0.0,0.10015684517140937,0.9996811
0.0,0.10127716782433341,0.9996805
0.0,0.10172529688550302,0.9996804
0.0,0.10194936141608783,0.9996803
0.0,0.10262155500784226,0.99968004
0.0,0.10284561953842707,0.9996799
0.0,0.10329374859959668,0.9996798
0.0,0.1037418776607663,0.9996772
0.0,0.10419000672193592,0.99967694
0.0,0.10441407125252072,0.9996768
0.0,0.10486220031369034,0.9996762
0.0,0.10508626484427515,0.9996761
0.0,0.10553439390544476,0.99967587
0.0,0.106430652027784,0.99967515
0.0,0.10777503921129285,0.99967504
