Label,Accuracy,Precision,Recall,F1 Score
sdoh_community_present,0.6321947537271183,0.7675009872087806,0.6321947537271183,0.48993158439153317
sdoh_community_absent,0.1096433289299868,0.01202165957884928,0.1096433289299868,0.021667610240925964
sdoh_education,0.024155501037931685,0.0005834882303935187,0.024155501037931685,0.0011394524167515224
sdoh_economics,0.13587469333836574,0.018461932289794928,0.13587469333836574,0.03250698760711857
sdoh_environment,0.6161539913191169,0.3796457410184783,0.6161539913191169,0.46981382103150787
behavior_alcohol,0.23891300245329308,0.05707942274124723,0.23891300245329308,0.09214435981900047
behavior_tobacco,0.1877712775995471,0.03525805269136618,0.1877712775995471,0.059368421103129766
behavior_drug,0.6165314210228345,0.3801109931084356,0.6165314210228345,0.47027974608489387
