Label,Accuracy,Precision,Recall,F1 Score
sdoh_community_present,0.6320060388752595,0.399431633174796,0.6320060388752595,0.4894977391751258
sdoh_community_absent,0.1096433289299868,0.01202165957884928,0.1096433289299868,0.021667610240925964
sdoh_education,0.9758444989620683,0.9522724861545302,0.9758444989620683,0.9639144038458176
sdoh_economics,0.6216267220230232,0.3864197815330889,0.6216267220230232,0.476582898252959
sdoh_environment,0.3747876957916588,0.140465816916821,0.3747876957916588,0.2043454670809154
behavior_alcohol,0.23891300245329308,0.05707942274124723,0.23891300245329308,0.09214435981900047
behavior_tobacco,0.1877712775995471,0.03525805269136618,0.1877712775995471,0.059368421103129766
behavior_drug,0.6165314210228345,0.3801109931084356,0.6165314210228345,0.47027974608489387
