,precision,recall,f1-score,support
0,0.9254437869822485,0.9156908665105387,0.9205414949970571,2562.0
1,0.9518930957683742,0.9576518037194712,0.9547637663353067,4463.0
accuracy,0.9423487544483986,0.9423487544483986,0.9423487544483986,0.9423487544483986
macro avg,0.9386684413753114,0.9366713351150049,0.9376526306661819,7025.0
weighted avg,0.942247098742032,0.9423487544483986,0.9422829892294569,7025.0
