,precision,recall,f1-score,support
0,0.9264469453376206,0.899687743950039,0.9128712871287129,2562.0
1,0.9433546396297112,0.95899619090298,0.9511111111111111,4463.0
accuracy,0.9373665480427046,0.9373665480427046,0.9373665480427046,0.9373665480427046
macro avg,0.9349007924836659,0.9293419674265095,0.931991199119912,7025.0
weighted avg,0.9371884456401971,0.9373665480427046,0.9371651425640785,7025.0
