FPR,TPR,Thresholds
0.0,0.0,1.9998337
0.0,0.00022406453058480843,0.9998337
0.0,0.0017925162446784674,0.9997446
0.0,0.002240645305848084,0.999742
0.0,0.013667936365673313,0.9996264
0.0,0.014116065426842931,0.99962604
0.0,0.017701097916199865,0.99960405
0.0,0.01814922697736948,0.99960357
0.0,0.02554335648666816,0.9995665
0.0,0.025991485547837777,0.999566
0.0,0.0266636791395922,0.9995608
0.0,0.027111808200761818,0.9995592
0.0,0.030472776159533945,0.9995378
0.0,0.03092090522070356,0.9995376
0.0,0.03136903428187318,0.99953675
0.0,0.03248935693479722,0.99953413
0.0,0.03316155052655165,0.9995301
0.0,0.03383374411830607,0.99952924
0.0,0.03629845395473896,0.9995165
0.0,0.03674658301590858,0.99951625
0.0,0.037194712077078196,0.9995142
0.0,0.03764284113824781,0.99951375
0.0,0.049294196728657855,0.9994611
0.0,0.04974232578982747,0.99946004
0.0,0.050414519381581896,0.99945766
0.0,0.05086264844275151,0.9994574
0.0,0.053103293748599595,0.9994518
0.0,0.05377548734035402,0.9994517
0.0,0.055119874523862876,0.9994462
0.0,0.056464261707371725,0.999446
0.0,0.06453058480842483,0.9994141
0.0,0.06497871386959445,0.9994134
0.0,0.06520277840017925,0.9994128
0.0,0.06565090746134887,0.9994117
0.0,0.06856374635895138,0.99940336
0.0,0.069011875420121,0.99940264
0.0,0.06968406901187542,0.99940073
0.0,0.07013219807304504,0.9994
0.0,0.07035626260362984,0.9993998
0.0,0.07080439166479946,0.9993992
0.0,0.07371723056240197,0.99939156
0.0,0.07416535962357158,0.99939096
0.0,0.08088729554111584,0.99935406
0.0,0.08133542460228546,0.9993538
0.0,0.08178355366345508,0.99935216
0.0,0.0822316827246247,0.99935097
0.0,0.0824557472552095,0.9993494
0.0,0.08290387631637912,0.9993493
0.0,0.08895361864216894,0.9993339
0.0,0.08940174770333856,0.99933296
0.0,0.09231458660094106,0.99932456
0.0,0.09276271566211068,0.9993235
0.0,0.09746807080439167,0.99930537
0.0,0.09791619986556128,0.999305
0.0,0.10015684517140937,0.99930143
0.0,0.10060497423257898,0.99930036
0.0,0.10127716782433341,0.99929655
0.0,0.10172529688550302,0.9992962
0.0,0.1037418776607663,0.99929
0.0,0.10463813578310553,0.9992874
0.0,0.10687878108895361,0.99928004
0.0,0.10755097468070804,0.9992797
0.0,0.11023974904772575,0.9992698
0.0,0.11068787810889537,0.9992694
0.0,0.11248039435357383,0.9992594
0.0,0.11292852341474345,0.9992593
0.0,0.1142729105982523,0.9992545
0.0,0.11472103965942192,0.99925417
0.0,0.11785794308760923,0.9992404
0.0,0.11830607214877885,0.9992386
0.0,0.12189110463813578,0.9992267
0.0,0.1223392336993054,0.9992256
0.0,0.12323549182164463,0.99922323
0.0,0.12368362088281425,0.999223
0.0,0.12480394353573829,0.99921954
0.0,0.1252520725969079,0.99921906
0.0,0.12547613712749273,0.99921894
0.0,0.12614833071924714,0.99921834
0.0,0.1304055568003585,0.99919456
0.0,0.13085368586152812,0.99919444
0.0,0.13735155724848758,0.99916553
0.0,0.1377996863096572,0.9991654
0.0,0.13914407349316604,0.99916124
0.0,0.13959220255433566,0.9991611
0.0,0.14340129957427739,0.99914134
0.0,0.143849428635447,0.9991404
0.0,0.14452162222720144,0.99913895
0.0,0.14496975128837106,0.999138
0.0,0.1463141384718799,0.99912924
0.0,0.14676226753304952,0.9991284
0.0,0.14810665471655837,0.99912614
0.0,0.148554783777728,0.9991253
0.0,0.14945104190006722,0.99912137
0.0,0.14989917096123684,0.9991186
0.0,0.15236388079766972,0.999108
0.0,0.15281200985883936,0.999106
0.0,0.15527671969527224,0.9990853
0.0,0.15572484875644185,0.99908423
0.0,0.16043020389872284,0.9990575
0.0,0.16087833295989246,0.9990559
0.0,0.16132646202106207,0.9990546
0.0,0.1617745910822317,0.9990545
0.0,0.16356710732691015,0.9990452
0.0,0.16401523638807977,0.9990439
0.0,0.17118530136679364,0.999009
0.0,0.17185749495854807,0.9990088
0.0,0.17387407573381133,0.99900216
0.0,0.17432220479498095,0.9990017
0.0,0.17925162446784673,0.99897563
0.0,0.17969975352901635,0.99897456
0.0,0.18171633430427964,0.99896777
0.0,0.18238852789603405,0.9989674
0.0,0.18507730226305175,0.9989513
0.0,0.18552543132422136,0.9989511
0.0,0.18597356038539098,0.9989502
0.0,0.18664575397714542,0.998949
0.0,0.18933452834416312,0.9989354
0.0,0.18978265740533273,0.9989343
0.0,0.1969527223840466,0.99889094
0.0,0.1974008514452162,0.9988907
0.0,0.19852117409814027,0.99888915
0.0,0.19896930315930988,0.998889
0.0,0.19986556128164912,0.9988825
0.0,0.20031369034281873,0.99888116
0.0,0.20098588393457315,0.99887365
0.0,0.20143401299574276,0.99887186
0.0,0.20322652924042123,0.9988617
0.0,0.20367465830159087,0.99886155
0.0,0.20613936813802375,0.9988538
0.0,0.20703562626036298,0.99885094
0.0,0.20838001344387183,0.9988433
0.0,0.20882814250504145,0.9988423
0.0,0.21039659421913512,0.99883384
0.0,0.21084472328030474,0.9988331
0.0,0.21689446560609454,0.99880683
0.0,0.21734259466726416,0.9988034
0.0,0.22630517589065652,0.9987637
0.0,0.22675330495182613,0.99876094
0.0,0.22697736948241093,0.9987608
0.0,0.22742549854358055,0.99875915
0.0,0.22966614384942863,0.9987545
0.0,0.23011427291059824,0.9987515
0.0,0.23325117633878556,0.99873894
0.0,0.23369930539995518,0.99873847
0.0,0.2368362088281425,0.99872774
0.0,0.23750840241989693,0.998727
0.0,0.24490253192919562,0.99869055
