Class,FPR,TPR,Threshold
0,0.0,0.0,1.9995418
0,0.0,0.00022406453058480843,0.99954176
0,0.0,0.001120322652924042,0.99948007
0,0.0,0.0017925162446784674,0.9994511
0,0.0,0.002240645305848084,0.99945027
0,0.0,0.03159309881245799,0.9979534
0,0.0,0.032041227873627606,0.99792
0,0.0,0.03517813130181492,0.9977081
0,0.0,0.03562626036298454,0.99766916
0,0.0,0.04391664799462245,0.9973023
0,0.0,0.044364777055792066,0.9972982
0,0.0,0.04862200313690343,0.99709857
0,0.0,0.049070132198073046,0.99709535
0,0.0,0.05825677795205019,0.9967642
0,0.0,0.05870490701321981,0.9967638
0,0.0,0.058928971543804616,0.99675155
0,0.0,0.05937710060497423,0.9966959
0,0.0,0.06341026215550079,0.9965281
0,0.0,0.06430652027784002,0.9965276
0,0.0,0.06721935917544253,0.9964011
0,0.0,0.06789155276719695,0.99639964
0,0.0,0.0746134886847412,0.9960736
0,0.0,0.07506161774591082,0.9960729
0,0.0,0.08133542460228546,0.99572754
0,0.0,0.08178355366345508,0.99572325
0,0.0,0.08290387631637912,0.9956791
0,0.0,0.08335200537754874,0.99565554
0,0.0,0.08492045709164239,0.9956019
0,0.0,0.08536858615281201,0.9955865
0,0.0,0.08805736051982971,0.9955259
0,0.0,0.08872955411158413,0.99551207
0,0.0,0.09388303831503474,0.9952679
0,0.0,0.09433116737620435,0.9952668
0,0.0,0.09993278064082456,0.9950075
0,0.0,0.10038090970199418,0.99500567
0,0.0,0.10844723280304727,0.9944554
0,0.0,0.1093434909253865,0.9944391
0,0.0,0.13466278288146985,0.9931867
0,0.0,0.13511091194263947,0.99313426
0,0.0,0.16401523638807977,0.9915087
0,0.0,0.1651355590410038,0.9915064
0,0.0,0.1727537530808873,0.99100435
0,0.0,0.17320188214205692,0.9909967
0,0.0,0.17992381805960117,0.9906185
0,0.00039032006245121,0.17992381805960117,0.99060845
0,0.00039032006245121,0.18328478601837328,0.9904248
0,0.00039032006245121,0.1837329150795429,0.99041736
0,0.00039032006245121,0.18574949585480618,0.9902436
0,0.00039032006245121,0.1861976249159758,0.9902394
0,0.00039032006245121,0.19919336768989468,0.989198
0,0.00039032006245121,0.1996414967510643,0.9891806
0,0.00039032006245121,0.2265292404212413,0.98692375
0,0.00078064012490242,0.2265292404212413,0.98692
0,0.00078064012490242,0.22697736948241093,0.9869042
0,0.00078064012490242,0.22720143401299575,0.98690027
0,0.00078064012490242,0.22764956307416537,0.98689085
0,0.00078064012490242,0.23638807976697288,0.9860924
0,0.00078064012490242,0.2368362088281425,0.98609155
0,0.00078064012490242,0.24288595115393233,0.9851541
0,0.00078064012490242,0.24333408021510194,0.9850642
0,0.00078064012490242,0.24378220927627156,0.98497736
0,0.00078064012490242,0.24423033833744118,0.984923
0,0.00078064012490242,0.24557472552095003,0.9847638
0,0.00117096018735363,0.24557472552095003,0.98474854
0,0.00117096018735363,0.2500560161326462,0.9840768
0,0.00117096018735363,0.2505041451938158,0.98406017
0,0.00117096018735363,0.2527447904996639,0.9838155
0,0.00117096018735363,0.2531929195608335,0.9838123
0,0.00117096018735363,0.26999775935469417,0.9817525
0,0.00117096018735363,0.27044588841586376,0.98168266
0,0.00117096018735363,0.2787362760475017,0.9806774
0,0.00195160031225605,0.2787362760475017,0.98066884
0,0.00195160031225605,0.2796325341698409,0.9805792
0,0.00195160031225605,0.28008066323101055,0.98056376
0,0.00195160031225605,0.28075285682276496,0.98049474
0,0.00234192037470726,0.28075285682276496,0.98042333
0,0.00234192037470726,0.2872507282097244,0.9792255
0,0.00234192037470726,0.28814698633206365,0.9792199
0,0.00234192037470726,0.2950929867801927,0.9777753
0,0.00234192037470726,0.29554111584136233,0.97768563
0,0.00234192037470726,0.29666143849428633,0.97741234
0,0.00234192037470726,0.297109567555456,0.97740775
0,0.00234192037470726,0.30159085816715214,0.9768678
0,0.00273224043715847,0.30159085816715214,0.976838
0,0.00273224043715847,0.304055568003585,0.9763781
0,0.00273224043715847,0.30450369706475466,0.9763426
0,0.00273224043715847,0.3074165359623572,0.9760007
0,0.00312256049960968,0.3074165359623572,0.97599095
0,0.00312256049960968,0.30920905220703565,0.97566503
0,0.00312256049960968,0.30965718126820524,0.9756049
0,0.00312256049960968,0.3105534393905445,0.97552335
0,0.00351288056206089,0.3105534393905445,0.97547966
0,0.00351288056206089,0.31570692359399505,0.974683
0,0.0039032006245121,0.31570692359399505,0.9746586
0,0.0039032006245121,0.32265292404212415,0.9734108
0,0.00429352068696331,0.32265292404212415,0.9733768
0,0.00429352068696331,0.32310105310329373,0.97332823
0,0.00429352068696331,0.32466950481738743,0.97300243
0,0.00429352068696331,0.325117633878557,0.9729171
0,0.00429352068696331,0.33475240869370376,0.9710841
0,0.00429352068696331,0.3352005377548734,0.9709919
0,0.00429352068696331,0.33945776383598475,0.9702734
0,0.00468384074941452,0.33945776383598475,0.9701026
0,0.00468384074941452,0.34214653820300245,0.96967894
0,0.00468384074941452,0.3425946672641721,0.9696488
0,0.00468384074941452,0.3439390544476809,0.96916604
0,0.00507416081186573,0.3439390544476809,0.96907365
0,0.00507416081186573,0.3446112480394354,0.96895266
0,0.00507416081186573,0.3455075061617746,0.9688805
0,0.00507416081186573,0.3459556352229442,0.9687345
0,0.00507416081186573,0.34640376428411385,0.9687325
0,0.00507416081186573,0.3481962805287923,0.96848226
0,0.00546448087431694,0.3481962805287923,0.96847767
0,0.00546448087431694,0.3506609903652252,0.9676443
0,0.00585480093676815,0.3506609903652252,0.96764416
0,0.00585480093676815,0.3540219583239973,0.9672468
